-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-1,-1,50,50,50,50,50,50,50,-1
-1,50,50,50,50,50,50,50,50,50,50,50,50,221,50,50,50,50,50,50,50,50,50,50,50,50,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,115,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-1
-1,131,50,50,50,50,50,50,50,50,50,50,50,96,97,98,50,50,50,50,50,50,50,50,50,50,-1
-1,50,50,50,50,50,50,50,50,50,50,50,50,112,113,114,115,50,50,50,50,50,50,50,50,50,-1
-1,50,50,50,50,50,50,50,96,97,98,99,50,128,129,130,50,50,50,50,50,50,50,50,50,50,-1
-1,50,50,50,50,50,50,50,112,113,114,115,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-1
-1,50,97,98,99,50,50,50,128,129,130,131,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-1
-1,112,113,114,115,50,50,50,50,50,50,50,50,50,50,50,96,97,98,99,50,50,50,50,50,50,-1
-1,128,129,130,131,50,50,50,50,50,50,50,50,50,50,50,112,113,114,115,50,50,50,50,50,50,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
